증상,고객이 증상을 표현한 대화,원인,조치 방안,자가조치 가능여부,자가조치 시 매뉴얼 참조여부,자가조치 방법,출동 필요여부,출동 담당업체
출발 및 이동 불가,주행 불가,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
출발 및 이동 불가,바퀴에러로 주행불가,바퀴 불량,바퀴 불량복구(HW),FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,방전상태 대기장소 복구불가,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 작동 불가,구동부조명 불량,출동 필요,FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 작동 불가,배터리 불량 등의 이유로 완전 방전,출동 필요,FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,안움직임,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇이 안움직임,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,로봇이 안움직임,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
출발 및 이동 불가,로봇이 잘 안움직임,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
출발 및 이동 불가,로봇이 전혀 안운직임,TX2(HW) 불량,TX2(HW) 수리,FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,안움직임,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 자동 업데이트 후 주행 안됨,로봇 에러,"S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
출발 및 이동 불가,대기장소 위치 못 찾음,위치바코드 훼손으로 대기장소 미인식,출동 필요,FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,특정위치 서빙 시 위치 못찾음,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,특정 테이블 경로 못 찾음,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 배식구 방향 내리막길에서 안내려감,라이다 센서 불량,라이다 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,일부구간 운행에러,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 운행 불가,와이파이 연결불량,공유기 불량복구,FALSE,FALSE,NULL,TRUE,KT
출발 및 이동 불가,로봇 운행 불가,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,로봇 운행 불가,관성 센서 불량,관성 센서 수리,FALSE,FALSE,NULL,TRUE,제조사
출발 및 이동 불가,서비스 준비 중 상태로 움직이질 않음,Xavier(SW응용부 보드) 불량,Xavier(SW응용부 보드) 수리,FALSE,FALSE,NULL,TRUE,제조사
멈칫거림 및 멈춤,로봇 멈춤,로봇 에러(재부팅 필요),재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
멈칫거림 및 멈춤,서빙중 멈춤,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,서빙중 수시로 멈춤,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,업데이트 후 로봇 멈춤,로봇 에러,"S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
멈칫거림 및 멈춤,멈춤 현상,"자율주행 오류(멈춤, 금지구역침범 등)",민감도 조정,FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,주행 중 멈춤,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
멈칫거림 및 멈춤,일시정지,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,오동작 및 멈춤현상,"맵핑오류, 라이다 틀어짐","맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,로봇이 출입문 통과 시 부자연스럽고 멈칫거림 심함,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,"동작하다 멈춤, 테이블 위치도 변경되었다",매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,"위치를 못찾아 버벅거리거나, 앞에 사물이 없는데도 멈춤현상 심한","자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
멈칫거림 및 멈춤,로봇 수시로 멈추고 하이오더 주문판에 네트워크오류 수시로 뜸,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
멈칫거림 및 멈춤,로봇 멈춤현상,바퀴 불량,바퀴 이물질 제거,TRUE,TRUE,바퀴 위치,FALSE,NULL
멈칫거림 및 멈춤,로봇이 자주 멈춤현상,"자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
멈칫거림 및 멈춤,"업그레이드된 후로 멈칫멈칫하거나, 서빙 후 되돌아오지 않음","자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
이상 주행,이동중 주행이 불안정,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 주행,로봇 운행 시 심하게 흔들리며 정해진 길로 가지 않고 다른길로 가기도 함,저속주행 설정에 따른 이상 주행,저속주행 설정 변경,TRUE,TRUE,주행 속도 변경,FALSE,NULL
이상 주행,주행 불량,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 주행,로봇주행이상,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
이상 주행,길을 자주 잃어버림,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
이상 주행,주행중 도리도리,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 주행,일부구간 버벅임,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 주행,로봇이 이동을 잘 하지 못함,"자율주행 오류(멈춤, 금지구역침범 등)",맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 주행,주행 오류,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 주행,주행 중 오류,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 주행,기존보다 이동이 느리고 빙빙 돌기도 함,센서 이물질,센서 이물질 제거,TRUE,TRUE,"카메라, ToF, 라이다 센서 위치",FALSE,NULL
이상 주행,로봇 오동작,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 주행,간혹 주행 불안정,"자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
이상 주행,간혹 주행 불안정,"자율주행 오류(멈춤, 금지구역침범 등)","S/W, F/W 업그레이드 적용",TRUE,TRUE,펌웨어 업데이트,FALSE,NULL
이상 도착 및 복귀,충전장소에서 대기장소로 이동 오류,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,테이블로 도착불가,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,테이블로 도착불가,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,퇴식 장소 오류,호출벨/오더연동된 로봇으로 오더수행 중 종료,재부팅 후 재시도,TRUE,FALSE,NULL,FALSE,NULL
이상 도착 및 복귀,로봇이 엉뚱한데로 감,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,로봇 오작동,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,"오작동, 테이블 도착 시 틀림","맵핑오류, 라이다 틀어짐","맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,테이블로 잘 못감,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,일부 테이블 서빙불가,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,일부 테이블 서빙안됨,"맵핑오류, 라이다 틀어짐","맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,로봇이 테이블까지 못가요,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,서빙 복귀 안됨,ToF 센서 이물질,ToF 센서 이물질 제거,TRUE,TRUE,ToF 센서 위치,FALSE,NULL
이상 도착 및 복귀,"음식을 보냈는데 다시 되돌아감, 다시 돌아옴",매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
이상 도착 및 복귀,로봇이 시간이 지나면 자리를 못찾아감,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
흔들림,대기장소 진입 시 로봇 흔들림 심함,구동부조명 불량 (바닥 재질에 따른 빛 반사 현상으로 주행 불안정),구동부조명(HW) 불량복구 (로봇 바닥민감도 설정),FALSE,FALSE,NULL,TRUE,KT
흔들림,선반에 있는 물이 이동중에 쏟아짐,매장 내 신규 장애물 발생,맵 수정 (금지구역 및 Node 수정 등),FALSE,FALSE,NULL,TRUE,KT
장애물 인지 이상,장애물 오인식,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
장애물 인지 이상,장애물 감지로 서빙 불가,센서 이물질 및 민감도 조정 필요,출동 필요,FALSE,FALSE,NULL,TRUE,KT
장애물 인지 이상,장애물 감지,매장 내 테이블 등 배치 변경,"맵 수정 (대기장소, 목적지 테이블 등 위치 설정 변경)",FALSE,FALSE,NULL,TRUE,KT
